Image;P1;P2;P3;P4
1087;0,56;207,17;21,255;256,248
1088;186,70;581,28;85,882;634,909
1089;297,12;666,12;155,996;773,994
1090;255,1;521,3;224,996;534,998
1091;166,112;619,99;143,891;684,900
1092;201,208;516,206;99,858;576,865
1093;63,30;744,41;5,990;742,994
1094;273,103;693,115;152,875;619,920
1095;279,50;861,39;300,743;861,745
1096;57,86;646,50;1,990;748,985
1097;7,5;554,3;1,994;556,994
1098;164,211;610,172;7,990;731,992
1099;16,5;565,7;32,992;614,994
1100;217,3;514,5;157,990;525,994
1101;170,250;545,250;141,907;599,900
1102;121,7;581,7;83,992;615,992
1103;125,25;639,9;103,956;695,971
1104;114,5;672,7;119,990;657,994
1105;194,7;687,7;43,983;729,994
1106;117,106;478,50;61,922;579,914
1107;143,79;634,96;5,896;731,902
1108;5,1;268,2;8,396;289,395
1109;134,57;556,34;97,943;623,949
1110;134,88;570,92;137,856;596,855
1111;41,157;501,110;159,996;744,807
1112;170,3;643,4;142,896;651,896
1113;47,5;634,7;30,985;697,978
1114;53,2;185,2;26,247;218,248
1115;1,1;605,1;1,994;646,994
1116;123,5;686,5;3,972;742,974
1117;170,67;650,83;148,996;664,994
1118;50,2;243,2;39,377;262,381
1119;57,3;697,10;38,990;585,992
1120;90,28;605,23;5,980;683,985
1121;119,85;590,52;5,951;706,951
1122;52,3;306,3;36,344;318,344
1123;52,9;681,12;5,983;740,985
1124;67,38;637,28;10,958;686,976
1125;18,226;502,246;5,914;556,880
1126;144,81;606,77;186,989;737,965
1127;143,186;606,170;123,985;617,983
1128;135,14;574,7;97,989;655,987
1129;68,30;682,27;21,990;730,990
1130;61,36;650,21;41,956;686,958
1131;97,197;449,197;19,978;494,985
1132;32,1;327,1;17,343;341,347
1133;148,9;992,7;96,992;992,994
1134;175,208;510,204;126,936;592,916
1135;9,3;740,9;16,990;735,992
1136;103,143;648,135;65,996;708,998
1137;141,56;657,101;25,990;690,994
1138;197,199;482,206;123,990;556,990
1139;111,1;433,3;112,506;458,494
1140;92,8;851,8;2,1470;1039,1413
1141;65,88;509,94;36,994;549,994
1142;7,9;630,5;10,994;659,990
1143;159,7;648,5;163,989;650,990
1144;77,134;583,139;47,971;594,994
1145;1,3;334,7;1,447;335,446
1146;1,1;325,1;1,345;308,344
1147;2,2;244,2;1,449;245,448
1148;26,1;252,1;26,448;236,449
1149;2,1;367,1;1,446;391,446
1150;80,1;266,1;5,446;265,448
1151;350,14;2030,21;241,4010;2227,4010
1152;40,76;314,76;19,417;318,419
1153;25,2;292,1;6,445;329,445
1154;97,3;507,5;43,992;558,994
1155;58,13;260,11;13,448;304,447
1156;1,2;306,3;2,525;308,518
1157;77,1;324,3;69,345;303,346
1159;26,2;239,5;4,397;267,397
1160;130,45;659,23;143,992;682,992
1161;251,47;583,39;112,990;648,996
1162;94,94;485,39;85,990;586,985
1163;15,0;321,3;17,446;335,445
1164;158,3;454,3;132,627;481,624
1165;145,1;380,1;114,306;401,306
1166;90,5;626,7;5,989;711,990
1167;105,132;277,110;75,361;309,355
1168;106,61;606,65;77,969;623,969
1169;15,1;253,2;1,445;283,447
1170;152,21;543,21;114,996;557,996
1171;82,4;372,5;35,631;420,634
1172;13,4;274,4;1,397;271,415
1173;88,217;485,208;58,996;514,990
1174;190,3;670,7;159,994;615,992
1175;6,9;936,16;6,1802;939,1802
1176;166,213;489,173;181,813;534,788
1177;55,4;401,1;1,444;447,445
1178;7,27;290,27;1,436;320,426
1179;177,5;590,3;128,990;626,992
1180;71,92;271,90;75,447;313,439
1181;18,2;384,2;1,545;408,545
1182;2,2;327,4;17,445;320,448
1183;0,0;335,1;1,447;335,448
1184;5,5;1168,5;32,1377;1163,1382
1185;52,67;532,50;34,969;556,969
1186;36,0;264,0;25,345;279,346
1187;131,4;784,4;2,1318;944,1335
1188;1,0;323,1;1,442;336,445
1189;65,61;284,65;40,447;318,447
1190;146,5;500,14;115,994;599,994
1191;1,1;312,3;7,446;326,447
1192;82,55;240,54;71,401;253,401
1193;34,1;303,1;22,344;320,345
1194;22,44;194,53;13,445;251,419
1195;117,7;583,7;65,994;623,996
1196;36,1;289,2;17,346;290,346
1197;25,116;287,101;19,437;308,445
1198;2,1;218,5;1,445;231,446
1199;69,1;278,3;35,341;309,344
